Squad,# Pl,Age,Poss,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,season,country
Watford,30,28.4,40.7,33,26,59,32,1,2,63,3,40.0,38.4,32.5,70.9,557,1070,2021,EN
West Ham,25,28.2,47.9,58,46,104,54,4,6,52,3,51.4,46.8,37.4,84.2,646,1449,2021,EN
Wolves,26,27.3,49.5,35,22,57,34,1,1,62,2,37.5,36.8,26.4,63.2,723,1283,2021,EN
Alavés,33,27.9,42.0,29,20,49,23,6,7,93,4,37.3,31.8,25.5,57.3,420,984,2021,SP
Athletic Club,26,26.9,48.1,40,34,74,37,3,7,90,4,49.6,44.0,37.5,81.6,653,1572,2021,SP
Atlético Madrid,26,28.1,50.6,63,45,108,59,4,5,111,7,54.4,50.6,40.2,90.8,705,1463,2021,SP
Barcelona,38,26.2,64.2,68,52,120,62,6,7,97,5,63.4,57.9,47.6,105.5,961,2079,2021,SP
Betis,31,28.9,53.7,60,45,105,54,6,6,87,6,53.5,48.8,37.7,86.5,666,1518,2021,SP
Cádiz,33,28.5,41.3,35,21,56,32,3,6,105,3,39.5,34.8,24.6,59.4,571,1080,2021,SP
Celta Vigo,25,28.4,55.2,43,29,72,40,3,6,87,3,43.1,38.3,28.8,67.2,665,1447,2021,SP
Elche,28,29.1,48.4,39,29,68,38,1,1,104,6,33.7,32.9,27.6,60.5,531,1102,2021,SP
Espanyol,34,27.7,46.9,39,25,64,34,5,5,99,7,36.7,32.9,25.8,58.7,610,1212,2021,SP
Getafe,31,26.6,41.5,31,26,57,28,3,5,121,8,29.3,25.3,19.4,44.7,399,917,2021,SP
Granada,32,28.1,44.7,43,28,71,40,3,5,105,4,39.0,35.1,26.7,61.8,435,1047,2021,SP
Levante,31,28.0,47.2,51,34,85,43,8,13,109,6,55.1,45.1,31.7,76.9,569,1343,2021,SP
Mallorca,33,27.9,45.3,33,23,56,27,6,7,114,7,38.8,33.3,25.7,59.0,575,1129,2021,SP
Osasuna,29,27.7,46.9,37,23,60,31,6,8,84,2,36.7,30.7,22.9,53.6,417,1328,2021,SP
Rayo Vallecano,28,27.5,49.9,38,28,66,34,4,4,101,3,42.8,39.7,30.7,70.3,697,1312,2021,SP
Real Madrid,31,27.7,59.9,80,59,139,72,8,12,76,0,71.7,62.2,50.7,112.9,1029,2078,2021,SP
Real Sociedad,32,25.7,54.3,40,22,62,31,9,10,77,4,51.5,43.8,32.9,76.7,667,1462,2021,SP
Sevilla,33,28.6,59.4,51,40,91,49,2,3,97,4,42.4,40.0,32.5,72.5,625,1596,2021,SP
Valencia,34,24.8,43.6,45,30,75,37,8,9,134,8,39.0,32.2,25.4,57.6,554,1202,2021,SP
Villarreal,29,28.0,56.8,62,51,113,57,5,6,81,1,64.2,60.0,50.9,110.9,790,1698,2021,SP
Arminia,26,25.8,40.7,26,18,44,24,2,2,55,2,26.3,24.7,17.2,41.9,405,887,2021,GE
Augsburg,26,26.6,41.5,39,26,65,34,5,5,74,0,36.7,32.8,23.9,56.7,441,895,2021,GE
Bayern Munich,30,26.8,64.5,92,70,162,87,5,5,36,2,89.0,85.1,66.7,151.8,833,2164,2021,GE
Bochum,28,28.0,44.7,37,22,59,33,4,6,55,2,40.6,35.9,26.7,62.6,467,926,2021,GE
Dortmund,33,25.9,59.2,81,57,138,70,11,11,63,1,64.0,55.9,45.0,100.8,670,1468,2021,GE
Eint Frankfurt,27,26.2,49.6,43,33,76,42,1,2,61,1,41.6,40.1,32.0,72.1,609,1255,2021,GE
Freiburg,26,26.5,49.0,55,37,92,50,5,6,34,0,50.4,45.7,34.5,80.2,401,1229,2021,GE
Gladbach,26,26.0,54.0,54,38,92,49,5,7,67,1,56.2,50.6,37.8,88.4,527,1291,2021,GE
Greuther Fürth,29,25.9,43.6,26,15,41,21,5,5,61,0,30.0,26.2,18.8,44.9,413,976,2021,GE
Hertha BSC,36,26.7,43.7,35,23,58,32,3,3,62,2,33.3,30.9,25.0,55.9,462,975,2021,GE
Hoffenheim,32,26.1,53.2,55,42,97,55,0,0,75,0,58.3,58.3,46.8,105.1,588,1474,2021,GE
Köln,26,27.0,54.8,52,40,92,51,1,1,68,1,50.1,49.3,38.6,87.9,550,1406,2021,GE
Leverkusen,29,24.4,53.7,76,58,134,74,2,6,66,2,62.6,57.8,46.2,104.0,709,1341,2021,GE
Mainz 05,28,26.2,46.5,49,36,85,45,4,4,62,4,50.4,47.2,36.4,83.6,445,1178,2021,GE
RB Leipzig,29,25.3,56.1,72,53,125,64,8,9,49,0,64.5,58.4,49.2,107.6,542,1467,2021,GE
Stuttgart,34,24.0,50.7,40,31,71,39,1,3,64,2,43.7,41.4,33.1,74.5,571,1269,2021,GE
Union Berlin,28,28.3,43.7,50,33,83,45,5,5,62,1,47.0,43.3,31.5,74.8,429,1123,2021,GE
Wolfsburg,30,26.0,50.5,42,25,67,39,3,4,61,3,47.7,44.9,33.8,78.7,502,1220,2021,GE
Atalanta,32,27.5,55.0,62,48,110,57,5,6,87,2,62.4,58.1,48.5,106.6,796,1858,2021,IT
Bologna,36,26.6,50.6,43,34,77,39,4,5,92,7,44.9,41.0,33.6,74.6,540,1276,2021,IT
Cagliari,33,26.5,44.5,34,26,60,31,3,4,96,5,39.0,36.4,29.6,66.0,474,1088,2021,IT
Empoli,28,24.5,47.4,47,27,74,40,7,7,87,5,44.9,39.3,28.9,68.3,658,1477,2021,IT
Fiorentina,28,26.4,57.7,59,33,92,50,9,12,89,8,60.0,50.8,39.2,90.1,755,1584,2021,IT
Genoa,40,27.0,43.9,26,19,45,20,6,7,92,3,37.2,31.8,26.3,58.1,517,1101,2021,IT
Hellas Verona,31,26.8,50.6,63,44,107,56,7,8,100,7,50.4,44.2,34.1,78.4,677,1587,2021,IT
Inter,27,28.9,56.5,83,57,140,76,7,11,71,0,81.6,73.6,57.3,130.9,782,1778,2021,IT
Juventus,32,27.4,51.5,56,37,93,51,5,6,77,2,51.4,46.7,36.3,83.0,701,1464,2021,IT
Lazio,27,29.0,55.4,74,48,122,67,7,9,88,5,55.3,48.2,38.8,87.0,788,1527,2021,IT
Milan,28,25.6,54.0,66,39,105,61,5,8,76,3,59.7,54.1,42.8,96.9,806,1486,2021,IT
Napoli,27,27.9,58.3,74,46,120,64,10,14,63,2,57.8,46.6,37.1,83.7,827,1665,2021,IT
Roma,29,26.4,51.4,58,31,89,51,7,9,111,8,65.1,58.1,46.3,104.4,733,1587,2021,IT
Salernitana,42,27.7,41.2,32,19,51,28,4,5,94,5,36.5,32.9,24.8,57.7,528,1031,2021,IT
Sampdoria,34,29.0,46.1,42,29,71,40,2,4,94,4,36.7,33.4,26.2,59.6,467,1187,2021,IT
Sassuolo,29,26.1,54.9,60,39,99,53,7,7,92,4,55.7,50.2,39.0,89.2,815,1507,2021,IT
Spezia,30,24.4,42.7,38,25,63,35,3,5,88,4,40.1,36.2,27.9,64.1,511,999,2021,IT
Torino,31,25.2,53.3,43,27,70,37,6,6,89,3,48.7,44.1,36.3,80.4,628,1320,2021,IT
Udinese,29,26.2,42.7,58,36,94,55,3,4,95,6,51.3,48.2,36.6,84.8,669,1226,2021,IT
Venezia,39,26.1,42.3,34,23,57,31,3,5,110,9,36.5,32.4,26.4,58.8,540,1088,2021,IT
América (MG),37,29.8,45.9,40,29,69,35,5,7,86,5,45.6,40.8,33.3,74.0,697,1634,2022,BR
Ath Paranaense,35,24.4,44.1,45,26,71,36,9,11,92,4,47.1,38.7,28.6,67.3,565,1274,2022,BR
Atl Goianiense,33,26.9,50.6,38,25,63,36,2,3,100,6,43.1,40.8,32.0,72.8,705,1531,2022,BR
Atlético Mineiro,32,28.7,58.6,43,27,70,38,5,6,90,0,54.1,49.4,38.4,87.8,694,1820,2022,BR
Avaí,45,28.7,50.2,34,10,44,21,13,14,104,4,44.0,33.7,24.0,57.7,563,1345,2022,BR
Botafogo (RJ),43,27.5,48.7,40,21,61,36,4,4,97,4,40.8,38.2,30.5,68.7,626,1299,2022,BR
Ceará,40,29.0,50.9,32,12,44,27,5,7,126,10,43.9,38.4,29.8,68.2,610,1472,2022,BR
Corinthians,42,26.9,54.7,42,28,70,39,3,3,77,3,40.9,38.7,28.7,67.4,606,1493,2022,BR
Coritiba,41,27.5,45.2,39,26,65,35,4,4,110,11,42.3,39.7,32.0,71.7,624,1343,2022,BR
Cuiabá,35,28.3,44.2,31,16,47,27,4,5,83,6,41.0,37.2,27.9,65.1,538,1374,2022,BR
Flamengo,44,27.2,57.3,59,49,108,56,3,6,84,4,65.4,60.6,50.6,111.2,787,1966,2022,BR
Fluminense,32,28.4,60.8,62,47,109,58,4,4,80,9,50.1,47.1,37.6,84.7,773,1625,2022,BR
Fortaleza,34,28.5,45.2,45,36,81,43,2,6,85,4,44.5,41.0,32.2,73.1,614,1385,2022,BR
Goiás,36,26.8,40.2,40,28,68,34,6,6,114,5,34.6,30.3,23.6,53.9,494,972,2022,BR
Internacional,37,27.4,50.0,58,40,98,50,8,10,86,2,55.8,48.1,40.0,88.1,750,1504,2022,BR
Juventude,45,27.4,45.8,27,18,45,25,2,4,109,8,33.4,30.3,21.6,52.0,509,1216,2022,BR
Palmeiras,35,26.9,54.3,64,47,111,57,7,9,75,3,69.3,62.4,48.2,110.6,750,1718,2022,BR
Red Bull Bragantino,36,23.8,49.7,48,29,77,44,4,5,86,6,52.7,48.7,36.9,85.6,659,1508,2022,BR
Santos,40,25.4,48.1,42,31,73,39,3,3,100,3,46.2,43.8,33.4,77.2,661,1394,2022,BR
São Paulo,39,26.8,55.5,55,38,93,50,5,7,103,6,49.7,44.4,35.6,79.9,651,1694,2022,BR
Arsenal,26,24.7,59.3,84,64,148,81,3,4,51,0,71.6,68.9,53.5,122.4,824,2049,2022,EN
Aston Villa,26,27.0,49.3,49,35,84,46,3,4,80,1,50.3,47.2,38.8,86.0,637,1242,2022,EN
Bournemouth,31,26.3,40.4,37,24,61,37,0,0,68,0,38.5,38.5,28.4,66.9,504,1006,2022,EN
Brentford,25,26.2,43.8,56,36,92,49,7,8,57,1,56.3,50.1,38.4,88.5,392,1131,2022,EN
Brighton,29,26.3,60.2,68,46,114,62,6,6,58,0,73.3,68.9,52.2,121.2,809,1849,2022,EN
Chelsea,32,26.3,58.7,37,27,64,34,3,3,81,3,49.5,47.2,38.6,85.8,829,1737,2022,EN
Crystal Palace,26,26.7,46.3,38,29,67,37,1,3,82,3,39.3,36.8,29.0,65.8,556,1243,2022,EN
Everton,28,26.6,42.8,32,24,56,29,3,3,81,2,45.2,42.8,32.4,75.1,500,1052,2022,EN
Fulham,29,28.2,48.8,52,33,85,47,5,9,80,1,46.2,39.1,28.5,67.7,663,1326,2022,EN
Leeds United,29,25.3,47.0,45,31,76,44,1,3,89,3,47.3,44.9,31.8,76.7,555,1429,2022,EN
Leicester City,28,26.1,47.7,49,36,85,46,3,6,63,2,50.5,45.7,38.4,84.1,580,1304,2022,EN
Liverpool,28,27.4,60.8,71,58,129,69,2,4,57,1,71.5,68.4,55.6,124.1,719,1992,2022,EN
Manchester City,24,27.2,64.7,92,69,161,83,9,10,44,1,78.6,71.1,57.5,128.6,988,2073,2022,EN
Manchester Utd,26,26.9,53.7,56,42,98,53,3,3,78,2,67.7,65.3,52.2,117.5,711,1595,2022,EN
Newcastle Utd,27,27.3,52.3,64,42,106,58,6,6,61,1,71.9,67.3,51.8,119.1,695,1618,2022,EN
Nott'ham Forest,33,26.5,37.6,36,22,58,33,3,6,84,0,39.3,34.6,26.3,61.0,436,859,2022,EN
Southampton,36,24.7,44.5,36,25,61,34,2,4,73,0,37.8,34.6,28.1,62.7,588,1125,2022,EN
Tottenham,29,27.6,50.0,68,46,114,63,5,6,77,3,57.0,52.3,43.0,95.4,692,1449,2022,EN
West Ham,25,28.2,42.1,41,25,66,35,6,8,44,0,49.2,43.7,32.7,76.4,615,1274,2022,EN
Wolves,32,26.7,49.9,28,12,40,25,3,3,85,6,36.8,34.5,25.4,60.0,610,1343,2022,EN
Almería,29,26.4,45.1,49,33,82,47,2,3,98,4,45.5,43.2,32.5,75.6,569,1090,2022,SP
Athletic Club,26,27.4,51.6,46,33,79,41,5,7,81,5,54.2,48.7,38.9,87.6,864,1816,2022,SP
Atlético Madrid,27,28.5,50.6,68,51,119,67,1,1,92,8,61.9,61.1,48.0,109.1,730,1571,2022,SP
Barcelona,29,25.9,64.3,69,56,125,69,0,2,84,6,75.5,74.0,60.1,134.1,963,2181,2022,SP
Betis,30,28.6,50.6,43,26,69,35,8,9,83,15,51.3,44.3,34.6,78.9,620,1272,2022,SP
Cádiz,38,29.1,41.9,29,20,49,25,4,5,116,7,41.5,37.7,27.7,65.4,475,969,2022,SP
Celta Vigo,26,26.7,50.2,41,31,72,39,2,3,85,6,42.6,40.3,30.8,71.1,704,1403,2022,SP
Elche,32,28.3,45.5,30,21,51,26,4,5,99,12,37.5,33.6,27.1,60.7,561,1197,2022,SP
Espanyol,33,27.6,43.1,51,31,82,46,5,5,99,10,48.3,44.4,35.0,79.4,528,1146,2022,SP
Getafe,25,27.4,39.9,34,21,55,29,5,8,126,9,36.7,30.4,22.5,53.0,365,1003,2022,SP
Girona,29,26.0,51.3,55,41,96,47,8,9,92,3,50.6,43.8,37.5,81.3,725,1378,2022,SP
Mallorca,31,27.7,41.1,36,27,63,32,4,5,120,5,35.2,31.1,26.5,57.7,476,948,2022,SP
Osasuna,26,27.5,48.0,36,30,66,32,4,5,93,7,39.8,35.9,28.4,64.3,545,1356,2022,SP
Rayo Vallecano,28,27.9,51.2,41,29,70,37,4,8,90,6,43.9,37.8,30.0,67.8,703,1390,2022,SP
Real Madrid,26,27.4,60.9,73,56,129,64,9,12,72,3,75.5,66.1,56.8,122.9,1008,2017,2022,SP
Real Sociedad,30,25.9,54.6,47,36,83,45,2,4,90,2,52.9,49.7,39.7,89.4,692,1483,2022,SP
Sevilla,35,28.7,52.6,47,31,78,43,4,5,121,13,46.3,42.4,32.0,74.5,558,1513,2022,SP
Valencia,28,24.2,52.0,40,23,63,35,5,8,93,8,49.3,43.0,32.5,75.5,786,1472,2022,SP
Valladolid,36,27.4,48.7,32,24,56,29,3,4,94,6,38.5,35.4,28.4,63.7,610,1244,2022,SP
Villarreal,32,28.4,56.9,57,33,90,53,4,7,91,4,61.6,56.1,43.2,99.3,846,1622,2022,SP
Augsburg,34,25.9,41.7,41,29,70,37,4,5,96,5,34.7,30.9,24.3,55.2,331,847,2022,GE
Bayern Munich,28,26.6,64.2,90,67,157,87,3,5,49,3,75.0,71.0,56.6,127.7,863,2041,2022,GE
Bochum,26,29.4,46.1,37,28,65,34,3,3,64,1,40.0,37.7,28.4,66.0,350,1022,2022,GE
Dortmund,30,25.8,58.2,81,61,142,77,4,6,66,0,71.1,66.5,51.9,118.4,783,1628,2022,GE
Eint Frankfurt,28,26.4,52.9,56,33,89,50,6,6,71,1,52.1,47.4,36.2,83.5,632,1372,2022,GE
Freiburg,27,27.4,48.1,51,34,85,44,7,8,62,2,47.9,41.6,28.5,70.1,427,1039,2022,GE
Gladbach,27,26.8,53.7,52,39,91,48,4,6,62,3,52.1,47.5,41.2,88.7,518,1168,2022,GE
Hertha BSC,32,26.0,42.0,42,23,65,35,7,7,82,1,39.4,33.9,25.3,59.2,413,914,2022,GE
Hoffenheim,31,26.8,48.3,46,30,76,39,7,9,80,5,48.0,41.1,32.4,73.4,457,1175,2022,GE
Köln,27,26.0,49.9,46,31,77,42,4,4,75,3,47.9,44.7,35.1,79.9,522,1247,2022,GE
Leverkusen,27,24.7,52.0,57,44,101,52,5,7,75,7,51.4,46.0,38.9,85.0,678,1243,2022,GE
Mainz 05,27,27.0,44.8,54,35,89,50,4,6,69,1,47.1,42.4,30.0,72.4,364,1155,2022,GE
RB Leipzig,25,26.3,58.1,64,39,103,58,6,7,69,2,62.7,57.4,43.2,100.6,599,1450,2022,GE
Schalke 04,35,27.5,46.0,32,24,56,28,4,5,68,1,39.6,35.9,28.7,64.6,415,934,2022,GE
Stuttgart,30,24.7,50.2,45,34,79,40,5,5,72,5,47.6,43.7,38.1,81.7,609,1278,2022,GE
Union Berlin,28,27.9,43.8,49,38,87,46,3,7,65,2,37.9,32.5,25.9,58.4,375,1012,2022,GE
Werder Bremen,25,27.4,49.3,50,37,87,45,5,6,76,1,41.1,36.4,29.0,65.4,412,1140,2022,GE
Wolfsburg,28,24.8,50.6,55,44,99,51,4,7,63,0,51.3,45.8,39.2,84.9,455,1306,2022,GE
Atalanta,27,26.5,49.9,64,42,106,58,6,8,83,3,57.7,51.3,42.7,93.9,687,1637,2022,IT
Bologna,27,26.6,54.7,52,41,93,46,6,6,84,3,43.8,39.4,31.5,70.9,564,1366,2022,IT
Cremonese,33,26.0,42.1,35,18,53,30,5,7,81,3,38.7,33.2,24.3,57.5,521,1107,2022,IT
Empoli,32,25.3,47.3,35,20,55,33,2,2,88,7,38.8,37.2,26.8,64.0,608,1114,2022,IT
Fiorentina,30,26.5,56.1,51,37,88,47,4,6,93,3,55.0,50.8,40.2,91.0,789,1627,2022,IT
Hellas Verona,36,26.6,41.2,29,22,51,28,1,1,103,3,35.8,35.1,28.1,63.2,503,1063,2022,IT
Inter,25,28.8,55.7,68,50,118,64,4,5,65,3,68.0,64.5,51.8,116.3,668,1624,2022,IT
Juventus,29,27.7,49.6,56,41,97,53,3,6,74,6,55.3,50.4,39.8,90.2,673,1394,2022,IT
Lazio,24,28.6,52.1,59,37,96,53,6,8,87,2,51.1,44.9,34.3,79.2,683,1381,2022,IT
Lecce,29,24.8,41.3,31,21,52,27,4,6,86,2,36.1,31.4,25.3,56.7,515,1232,2022,IT
Milan,30,26.0,55.6,61,49,110,56,5,5,90,2,58.8,55.1,46.0,101.1,795,1584,2022,IT
Monza,31,26.6,55.2,46,31,77,41,5,6,90,4,45.9,41.2,33.8,75.0,708,1362,2022,IT
Napoli,27,26.4,61.8,75,57,132,67,8,10,47,1,64.7,56.8,46.8,103.6,907,1804,2022,IT
Roma,30,27.4,48.6,50,33,83,43,7,10,83,4,57.4,49.9,38.9,88.8,684,1217,2022,IT
Salernitana,30,27.2,44.9,46,34,80,44,2,2,85,4,36.7,35.2,26.9,62.0,519,1089,2022,IT
Sampdoria,40,27.9,46.1,23,18,41,22,1,2,108,3,34.1,32.5,24.4,56.9,466,1126,2022,IT
Sassuolo,31,26.1,49.2,46,30,76,37,9,10,90,6,51.6,43.9,36.1,80.0,761,1565,2022,IT
Spezia,34,25.7,47.4,29,18,47,25,4,4,103,6,41.5,38.5,29.3,67.8,553,1163,2022,IT
Torino,28,25.2,53.2,41,34,75,39,2,2,81,0,41.8,40.2,35.0,75.2,684,1328,2022,IT
Udinese,30,26.1,48.0,46,41,87,45,1,2,88,3,46.9,45.4,37.8,83.2,646,1354,2022,IT
América (MG),46,29.1,43.0,42,30,72,38,4,6,89,10,46.7,42.1,34.4,76.5,638,1387,2023,BR
Ath Paranaense,40,26.1,48.5,51,38,89,47,4,4,109,4,51.1,48.2,38.9,87.1,592,1362,2023,BR
Atlético Mineiro,31,28.7,52.7,51,35,86,45,6,6,113,5,46.5,42.3,32.9,75.2,669,1399,2023,BR
Bahia,35,26.9,49.6,48,28,76,44,4,4,100,5,50.6,47.6,31.8,79.4,688,1502,2023,BR
Botafogo (RJ),36,28.5,48.1,56,40,96,51,5,7,93,4,50.1,44.6,33.1,77.6,658,1438,2023,BR
Corinthians,36,27.4,48.8,45,28,73,39,6,7,91,3,40.5,35.1,27.0,62.1,649,1377,2023,BR
Coritiba,47,27.1,43.9,40,25,65,32,8,9,124,5,39.3,32.2,25.6,57.8,551,1147,2023,BR
Cruzeiro,38,27.8,51.4,32,26,58,30,2,4,101,4,48.2,45.0,35.2,80.2,636,1650,2023,BR
Cuiabá,30,28.1,43.7,39,24,63,32,7,8,91,3,38.7,32.7,24.8,57.5,577,1361,2023,BR
Flamengo,32,26.7,57.4,55,39,94,47,8,9,85,5,50.0,43.0,34.4,77.3,713,1953,2023,BR
Fluminense,37,29.2,61.5,51,36,87,48,3,5,124,9,49.9,46.0,36.0,82.0,847,1623,2023,BR
Fortaleza,32,29.7,46.6,44,29,73,39,5,7,97,1,51.5,46.0,35.1,81.1,695,1451,2023,BR
Goiás,42,27.7,44.6,35,22,57,30,5,5,107,6,36.6,32.8,24.5,57.3,523,1284,2023,BR
Grêmio,44,27.9,46.7,61,45,106,56,5,7,103,5,49.9,44.5,36.4,81.0,541,1541,2023,BR
Internacional,35,28.5,51.6,45,30,75,42,3,4,111,6,42.4,39.1,29.0,68.1,618,1389,2023,BR
Palmeiras,33,26.9,52.7,62,44,106,60,2,4,96,4,57.2,54.1,43.1,97.2,788,1593,2023,BR
Red Bull Bragantino,35,24.2,56.5,48,30,78,45,3,3,109,6,57.9,55.5,39.1,94.6,721,1768,2023,BR
Santos,46,26.5,44.4,37,26,63,31,6,6,105,8,42.6,37.9,28.9,66.8,709,1237,2023,BR
São Paulo,38,26.7,59.5,40,27,67,35,5,9,107,5,49.5,42.1,33.1,75.2,694,1665,2023,BR
Vasco da Gama,38,26.2,48.8,41,30,71,37,4,4,101,6,47.6,44.5,32.4,76.9,664,1358,2023,BR
Arsenal,25,25.0,58.2,86,62,148,76,10,10,64,2,76.1,68.5,55.3,123.8,821,2106,2023,EN
Aston Villa,31,26.9,53.1,72,55,127,68,4,4,94,2,63.3,60.3,48.6,108.9,775,1451,2023,EN
Bournemouth,30,25.7,44.4,52,39,91,50,2,3,79,3,55.9,53.6,40.5,94.0,709,1314,2023,EN
Brentford,28,26.6,45.2,54,38,92,51,3,3,89,2,58.2,56.0,42.7,98.8,505,1283,2023,EN
Brighton,30,25.9,59.8,50,36,86,45,5,6,90,3,56.8,52.2,41.6,93.8,864,1780,2023,EN
Burnley,31,24.5,47.4,40,30,70,37,3,3,77,7,40.6,38.3,29.7,68.0,727,1181,2023,EN
Chelsea,32,24.2,58.6,76,51,127,65,11,12,109,4,74.5,65.1,51.4,116.5,873,1615,2023,EN
Crystal Palace,26,26.7,42.3,56,43,99,52,4,4,73,2,48.6,45.4,38.7,84.1,506,1176,2023,EN
Everton,26,27.1,40.8,40,17,57,38,2,3,82,1,54.0,51.6,38.1,89.8,495,1129,2023,EN
Fulham,25,28.4,50.6,54,40,94,52,2,2,84,4,50.8,49.2,37.6,86.8,670,1467,2023,EN
Liverpool,30,26.3,61.3,80,60,140,74,6,9,69,5,87.8,80.4,63.7,144.1,924,2110,2023,EN
Luton Town,28,26.7,42.4,49,33,82,44,5,5,71,0,42.4,38.6,29.5,68.2,675,1113,2023,EN
Manchester City,25,26.6,65.2,94,69,163,85,9,10,53,2,80.5,72.9,60.2,133.1,1127,2060,2023,EN
Manchester Utd,31,26.1,50.6,57,36,93,51,6,7,83,1,56.5,51.0,40.1,91.0,759,1479,2023,EN
Newcastle Utd,32,27.2,52.2,83,55,138,75,8,9,79,1,76.0,69.0,51.3,120.3,737,1557,2023,EN
Nott'ham Forest,33,25.7,40.6,49,43,92,48,1,1,82,3,49.9,49.1,38.0,87.1,604,1140,2023,EN
Sheffield Utd,35,25.7,35.8,31,18,49,26,5,5,101,5,38.3,34.4,25.8,60.2,343,884,2023,EN
Tottenham,29,25.2,61.6,69,58,127,67,2,2,92,4,68.2,66.7,57.4,124.1,957,2107,2023,EN
West Ham,26,28.3,41.1,58,40,98,54,4,5,82,3,52.3,48.4,34.8,83.2,556,1207,2023,EN
Wolves,27,26.6,48.9,47,36,83,43,4,4,102,4,46.7,43.6,31.8,75.4,671,1180,2023,EN
Alavés,30,25.6,41.8,33,28,61,30,3,7,84,1,46.2,40.7,32.4,73.0,550,1260,2023,SP
Almería,35,25.6,46.4,42,25,67,40,2,2,93,6,48.7,47.1,34.2,81.4,590,1097,2023,SP
Athletic Club,27,27.3,49.8,59,41,100,56,3,5,80,5,52.7,48.7,37.0,85.8,735,1610,2023,SP
Atlético Madrid,27,29.2,50.8,68,48,116,63,5,6,89,5,62.4,57.9,47.4,105.2,758,1597,2023,SP
Barcelona,29,26.0,64.3,76,55,131,70,6,7,87,2,77.6,72.1,57.4,129.5,964,1925,2023,SP
Betis,35,27.8,50.4,46,31,77,44,2,3,87,3,43.9,41.7,32.7,74.4,676,1441,2023,SP
Cádiz,34,28.5,43.3,25,17,42,22,3,3,107,7,36.0,33.6,25.2,58.9,456,1017,2023,SP
Celta Vigo,31,26.7,46.1,45,35,80,42,3,5,66,5,50.7,46.9,38.2,85.1,660,1345,2023,SP
Getafe,33,27.3,44.8,42,27,69,36,6,7,135,10,45.7,40.2,27.9,68.0,439,1141,2023,SP
Girona,25,26.1,56.9,84,64,148,77,7,8,75,1,70.8,64.6,54.0,118.6,894,1685,2023,SP
Granada,40,26.7,45.6,35,27,62,30,5,8,98,4,42.6,36.4,31.1,67.6,512,1044,2023,SP
Las Palmas,29,25.5,59.2,33,23,56,30,3,5,84,5,33.2,29.2,23.3,52.5,577,1596,2023,SP
Mallorca,25,28.7,45.0,33,27,60,32,1,3,105,4,40.5,38.2,30.8,69.0,498,1174,2023,SP
Osasuna,29,27.7,47.5,45,32,77,41,4,5,78,5,40.5,36.6,28.5,65.1,501,1322,2023,SP
Rayo Vallecano,26,29.4,49.4,29,12,41,23,6,6,108,5,42.3,37.7,24.6,62.3,506,1335,2023,SP
Real Madrid,27,27.4,59.2,85,66,151,83,2,5,69,4,68.8,65.2,52.5,117.7,950,1935,2023,SP
Real Sociedad,31,25.8,55.3,48,36,84,44,4,4,98,2,44.9,41.8,30.7,72.5,685,1414,2023,SP
Sevilla,35,28.6,50.3,46,30,76,44,2,2,108,4,44.9,43.3,31.7,75.0,635,1416,2023,SP
Valencia,29,23.8,44.3,39,24,63,31,8,9,64,5,43.1,36.2,27.0,63.2,522,1162,2023,SP
Villarreal,32,27.9,49.6,64,47,111,59,5,7,110,8,55.6,50.1,40.5,90.6,654,1558,2023,SP
Augsburg,29,26.0,43.9,49,35,84,44,5,7,71,3,46.1,40.7,27.7,68.4,462,1137,2023,GE
Bayern Munich,30,27.4,61.3,93,71,164,88,5,5,47,2,85.2,81.3,65.9,147.3,944,1941,2023,GE
Bochum,25,29.1,46.6,41,30,71,37,4,4,97,2,44.5,41.4,30.4,71.8,400,1151,2023,GE
Darmstadt 98,32,27.1,45.7,28,21,49,25,3,3,83,4,32.3,30.0,22.8,52.8,437,1083,2023,GE
Dortmund,32,26.8,57.8,68,49,117,62,6,6,59,4,63.5,58.8,45.6,104.4,770,1452,2023,GE
Eint Frankfurt,34,25.3,52.1,48,36,84,46,2,3,70,5,46.2,44.4,34.1,78.5,574,1305,2023,GE
Freiburg,25,27.0,46.6,43,32,75,36,7,9,64,4,49.4,42.4,32.4,74.8,468,1208,2023,GE
Gladbach,27,25.4,46.8,55,43,98,50,5,6,66,2,46.5,41.8,35.5,77.4,598,1227,2023,GE
Heidenheim,22,26.7,42.5,46,34,80,44,2,3,54,1,39.4,37.0,27.5,64.5,510,983,2023,GE
Hoffenheim,30,27.7,49.5,65,47,112,59,6,6,86,5,53.6,49.0,39.9,88.9,538,1359,2023,GE
Köln,26,25.4,46.5,28,17,45,23,5,6,71,4,39.3,34.7,27.2,61.9,618,1086,2023,GE
Leverkusen,24,26.2,61.8,87,71,158,79,8,8,59,0,73.6,67.6,55.2,122.8,888,1997,2023,GE
Mainz 05,30,26.7,46.1,38,31,69,37,1,5,99,3,44.6,40.7,32.0,72.7,480,1169,2023,GE
RB Leipzig,26,25.6,55.3,74,53,127,70,4,7,61,1,65.6,60.2,47.7,107.9,714,1541,2023,GE
Stuttgart,27,25.0,59.9,78,60,138,73,5,8,56,1,70.9,64.6,53.3,117.9,693,1618,2023,GE
